,date,习近平,李克强,栗战书,汪洋,王沪宁,赵乐际,韩正
515,2018-05-28,6410,2057,286,250,198,75,118
516,2018-05-29,6439,2059,293,250,198,75,123
517,2018-05-30,6458,2064,293,253,201,75,123
518,2018-05-31,6474,2070,293,253,201,78,123
519,2018-06-01,6488,2070,296,253,201,78,127
520,2018-06-02,6503,2071,296,253,201,78,132
521,2018-06-03,6509,2071,296,253,201,78,132
522,2018-06-04,6517,2071,296,258,201,78,132
523,2018-06-05,6525,2085,304,258,201,78,136
524,2018-06-08,6538,2088,307,260,201,78,138
525,2018-06-09,6564,2088,307,260,201,78,138
526,2018-06-10,6618,2088,307,260,201,78,138
527,2018-06-11,6650,2095,310,260,201,78,143
528,2018-06-12,6667,2105,310,260,201,78,143
529,2018-06-13,6678,2108,310,260,201,78,143
530,2018-06-14,6737,2108,310,269,201,78,143
531,2018-06-15,6790,2110,314,269,201,78,143
532,2018-06-16,6800,2110,314,269,201,78,143
533,2018-06-17,6804,2110,314,279,201,78,143
534,2018-06-18,6809,2110,314,279,201,78,143
535,2018-06-19,6836,2115,324,279,203,78,143
536,2018-06-20,6859,2117,336,287,203,78,147
537,2018-06-22,6871,2117,338,287,203,78,147
538,2018-06-23,6901,2119,339,288,204,79,148
539,2018-06-24,6919,2119,339,291,204,79,148
540,2018-06-25,6937,2138,344,295,206,81,150
541,2018-06-26,6959,2144,345,298,211,82,154
542,2018-06-27,6971,2146,350,303,211,82,154
543,2018-06-28,6986,2153,350,305,211,82,158
544,2018-06-29,6999,2157,350,305,211,82,161
545,2018-06-30,7010,2159,350,305,211,82,164
546,2018-07-01,7019,2159,350,305,211,82,164
547,2018-07-02,7030,2159,352,305,212,82,164
548,2018-07-03,7036,2160,352,313,212,82,164
549,2018-07-05,7049,2166,358,316,212,82,164
550,2018-07-06,7074,2185,358,317,213,82,165
551,2018-07-07,7081,2203,358,317,213,82,165
552,2018-07-09,7101,2221,366,317,213,82,169
553,2018-07-10,7121,2239,373,318,213,82,169
554,2018-07-11,7129,2256,373,318,213,82,174
555,2018-07-12,7140,2256,373,318,213,82,174
556,2018-07-13,7159,2259,373,322,214,82,175
557,2018-07-14,7162,2259,373,322,214,82,175
558,2018-07-15,7167,2259,373,322,214,82,175
559,2018-07-16,7189,2269,373,322,214,82,175
560,2018-07-17,7201,2271,374,322,214,82,175
561,2018-07-18,7211,2273,374,325,214,82,175
562,2018-07-19,7232,2280,374,329,214,82,175
563,2018-07-21,7254,2280,374,329,214,82,175
